Time,BestBid,BidVol,BestAsk,AskVol,Price,Volume
1687039874900.0,26543.5,5.231,26543.6,15.791,26543.5,34.885
1687039875000.0,26543.5,5.233,26543.6,15.791,26543.5,34.885
1687039875100.0,26543.5,5.233,26543.6,15.791,26543.5,34.885
1687039875200.0,26543.5,5.116,26543.6,15.791,26543.5,34.885
1687039875300.0,26543.5,5.435,26543.6,15.772,26543.5,34.885
1687039875400.0,26543.5,5.435,26543.6,15.784,26543.5,34.885
1687039875500.0,26543.5,5.433,26543.6,15.784,26543.5,34.885
1687039875600.0,26543.5,5.219,26543.6,15.917,26543.6,34.983
1687039875700.0,26543.5,5.423,26543.6,15.911,26543.6,34.989
1687039875800.0,26543.5,5.056,26543.6,15.93,26543.5,35.164
1687039875900.0,26543.5,5.055,26543.6,15.888,26543.5,35.164
1687039876000.0,26543.5,5.056,26543.6,15.731,26543.6,35.206
1687039876100.0,26543.5,5.056,26543.6,15.781,26543.6,35.206
1687039876200.0,26543.5,5.066,26543.6,15.792,26543.6,35.206
1687039876300.0,26543.5,5.057,26543.6,15.959,26543.6,35.206
1687039876400.0,26543.5,5.045,26543.6,16.04,26543.6,35.206
1687039876500.0,26543.5,5.08,26543.6,15.883,26543.6,35.206
1687039876600.0,26543.5,5.08,26543.6,15.876,26543.6,35.213
1687039876700.0,26543.5,10.025,26543.6,15.876,26543.6,35.213
1687039876800.0,26543.5,10.383,26543.6,15.876,26543.6,35.213
1687039876900.0,26543.5,10.384,26543.6,15.856,26543.6,35.213
1687039877000.0,26543.5,10.384,26543.6,15.796,26543.6,35.213
1687039877100.0,26543.5,10.383,26543.6,15.806,26543.6,35.213
1687039877200.0,26543.5,10.384,26543.6,15.818,26543.6,35.213
1687039877300.0,26543.5,10.383,26543.6,15.818,26543.6,35.213
1687039877400.0,26543.5,10.382,26543.6,15.818,26543.6,35.213
1687039877500.0,26543.5,10.383,26543.6,15.818,26543.6,35.213
1687039877600.0,26543.5,10.383,26543.6,15.818,26543.5,35.214
1687039877700.0,26543.5,10.91,26543.6,15.818,26543.5,35.214
1687039877800.0,26543.5,10.916,26543.6,15.818,26543.5,35.214
1687039877900.0,26543.5,10.91,26543.6,15.818,26543.5,35.214
1687039878000.0,26543.5,10.911,26543.6,15.821,26543.5,35.214
1687039878100.0,26543.5,11.292,26543.6,15.862,26543.5,35.214
1687039878200.0,26543.5,11.294,26543.6,15.393,26543.5,35.214
1687039878300.0,26543.5,10.811,26543.6,15.493,26543.5,35.214
1687039878400.0,26543.5,10.807,26543.6,15.488,26543.6,35.219
1687039878500.0,26543.5,10.812,26543.6,15.445,26543.6,35.262
1687039878600.0,26543.5,10.812,26543.6,15.426,26543.6,35.262
1687039878700.0,26543.5,10.812,26543.6,15.503,26543.6,35.262
1687039878800.0,26543.5,10.165,26543.6,15.503,26543.5,35.925
1687039878900.0,26543.5,10.165,26543.6,14.688,26543.5,35.925
1687039879000.0,26543.5,10.165,26543.6,14.739,26543.5,35.925
1687039879100.0,26543.5,10.169,26543.6,14.779,26543.5,35.925
1687039879200.0,26543.5,10.054,26543.6,13.834,26543.6,36.74
1687039879300.0,26543.5,10.177,26543.6,13.835,26543.6,36.74
1687039879400.0,26543.5,9.643,26543.6,13.825,26543.6,36.741
1687039879500.0,26543.5,10.178,26543.6,13.825,26543.6,36.741
1687039879600.0,26543.5,10.174,26543.6,13.825,26543.6,36.741
1687039879700.0,26543.5,10.175,26543.6,13.825,26543.6,36.741
1687039879800.0,26543.5,10.18,26543.6,13.825,26543.6,36.741
1687039879900.0,26543.5,10.179,26543.6,13.825,26543.6,36.741
1687039880000.0,26543.5,11.686,26543.6,13.825,26543.6,36.741
1687039880100.0,26543.5,13.189,26543.6,13.855,26543.6,36.741
1687039880200.0,26543.5,13.86,26543.6,13.466,26543.6,36.741
1687039880300.0,26543.5,14.553,26543.6,13.195,26543.6,36.741
1687039880400.0,26543.5,18.368,26543.6,12.072,26543.6,36.741
1687039880500.0,26543.5,18.444,26543.6,12.086,26543.6,36.741
1687039880600.0,26543.5,18.444,26543.6,11.929,26543.6,36.741
1687039880700.0,26543.5,20.628,26543.6,4.982,26543.5,36.791
1687039880800.0,26544.9,17.756,26545.0,0.216,26544.9,49.137
1687039880900.0,26545.7,20.733,26545.8,0.227,26545.8,50.089
1687039881000.0,26546.2,13.927,26546.3,0.114,26546.3,50.985
1687039881100.0,26547.1,15.844,26547.3,0.027,26547.1,53.277
1687039881200.0,26547.2,44.959,26547.3,0.004,26547.2,54.336
1687039881300.0,26547.4,24.616,26547.5,0.115,26547.3,54.366
1687039881400.0,26547.4,31.31,26547.5,0.125,26547.4,54.389
1687039881500.0,26547.4,30.596,26547.5,0.125,26547.5,54.44
1687039881600.0,26547.4,31.22,26547.5,0.086,26547.4,54.492
1687039881700.0,26547.4,30.207,26547.5,1.162,26547.5,54.531
1687039881800.0,26547.4,30.468,26547.5,0.087,26547.5,54.531
1687039881900.0,26547.5,30.202,26547.6,0.116,26547.5,54.618
1687039882000.0,26547.5,30.429,26547.6,0.116,26547.5,54.621
1687039882100.0,26552.1,5.554,26552.2,2.368,26551.9,100.856
1687039882200.0,26552.1,15.879,26552.2,5.22,26552.2,100.979
1687039882300.0,26552.1,17.695,26552.2,4.0,26552.1,100.989
1687039882400.0,26552.1,18.438,26552.2,3.994,26552.1,100.989
1687039882500.0,26552.1,18.558,26552.2,3.996,26552.1,102.36
1687039882600.0,26552.1,18.558,26552.2,4.011,26552.2,102.365
1687039882700.0,26552.1,18.788,26552.2,4.021,26552.2,102.365
1687039882800.0,26553.9,9.072,26554.0,2.347,26553.9,111.932
